21;HostName;TaskName;Next Run Time;Status;Logon Mode;Last Run Time;Last Result;Author;Task To Run;Start In;Comment;Scheduled Task State;Idle Time;Power Management;Run As User;Delete Task If Not Rescheduled;Stop Task If Runs X Hours and X Mins;Schedule;Schedule Type;Start Time;Start Date;End Date;Days;Months;Repeat: Every;Repeat: Until: Time;Repeat: Until: Duration;Repeat: Stop If Still Running
56;fcap09.falcon.local;\Export_EUROPRO_TO_Excel;Disabled;Unknown;Interactive/Background;10.9.2013 13:30:06;0;admin-zj;D:\Apps\Automation\EUROPRO_AUTOMATIC\Export_EUROPRO_TO_Excel.vbs ;D:\Apps\Automation\EUROPRO_AUTOMATIC;N/A;Disabled;Disabled;Stop On Battery Mode, No Start On Batteries;FALCON\admin-ik;Disabled;72:00:00;Scheduling data is not available in this format.;Weekly;13:30:00;22.3.2013;N/A;TUE, FRI;Every 1 week(s);Disabled;Disabled;Disabled;Disabled
57;fcap09.falcon.local;\EXPORT_PROGRESS_DAILY;Disabled;Unknown;Interactive/Background;17.11.2013 6:10:00;0;admin-zj;D:\Apps\Automation\PROGRESS\EXPORT_PROGRESS.bat ;D:\Apps\Automation\PROGRESS;N/A;Disabled;Disabled;Stop On Battery Mode, No Start On Batteries;FALCON\admin-ik;Disabled;72:00:00;Scheduling data is not available in this format.;Weekly;6:10:00;15.3.2012;N/A;Every day of the week;Every 1 week(s);Disabled;Disabled;Disabled;Disabled
58;fcap09.falcon.local;\EXPORT_PROGRESS_WEEKLY;Disabled;Unknown;Interactive/Background;25.8.2013 22:45:00;0;admin-zj;D:\Apps\Automation\PROGRESS\EXPORT_PROGRESS_WEEKLY.bat ;D:\Apps\Automation\PROGRESS;N/A;Disabled;Disabled;Stop On Battery Mode, No Start On Batteries;FALCON\admin-zj;Disabled;72:00:00;Scheduling data is not available in this format.;Weekly;22:45:00;1.7.2012;N/A;SUN;Every 1 week(s);Disabled;Disabled;Disabled;Disabled
59;fcap09.falcon.local;\Export_REGIS_TO_Excel;25.7.2014 13:30:00;Ready;Interactive/Background;22.7.2014 13:30:00;0;admin-zj08;D:\Apps\Automation\REGIS24_AUTOMATIC\Export_REGIS_TO_Excel.vbs ;D:\Apps\Automation\REGIS24_AUTOMATIC;N/A;Enabled;Disabled;Stop On Battery Mode, No Start On Batteries;FALCON\admin-zj08;Enabled;72:00:00;Scheduling data is not available in this format.;Weekly;13:30:00;9.8.2013;N/A;TUE, FRI;Every 1 week(s);Disabled;Disabled;Disabled;Disabled
60;fcap09.falcon.local;\FINANCE_001_002;Disabled;Unknown;Interactive/Background;1.5.2014 0:10:00;-1073741510;admin-zj;D:\Apps\Automation\FINANCE_001_002.cmd ;D:\Apps\Automation;N/A;Disabled;Disabled;Stop On Battery Mode, No Start On Batteries;FALCON\admin-zj09;Disabled;72:00:00;Scheduling data is not available in this format.;Monthly;0:10:00;20.8.2010;N/A;01;Every month;Disabled;Disabled;Disabled;Disabled
61;fcap09.falcon.local;\FINANCE_IN001_IN003_IN011;24.7.2014 4:30:00;Ready;Interactive/Background;23.7.2014 4:30:00;0;admin-zj;D:\Apps\Automation\FINANCE_IN001_IN003_IN011.cmd ;D:\Apps\Automation;N/A;Enabled;Disabled;Stop On Battery Mode, No Start On Batteries;FALCON\admin-zj;Enabled;72:00:00;Scheduling data is not available in this format.;Weekly;4:30:00;21.8.2010;N/A;SUN, TUE, WED, THU, FRI, SAT;Every 1 week(s);Disabled;Disabled;Disabled;Disabled
62;fcap09.falcon.local;\follow_up_event_NL001;Disabled;Unknown;Interactive/Background;17.9.2010 8:22:05;-1073741510;admin-zj;\\falcon.local\program\Ikaros\SQL-Skripte\Tagesaufgaben\AUTOMATIC_SKRIPTS\follow_up_event_NL001.cmd ;\\falcon.local\program\Ikaros\SQL-Skripte\Tagesaufgaben\AUTOMATIC_SKRIPTS;N/A;Disabled;Disabled;Stop On Battery Mode, No Start On Batteries;FALCON\admin-zj;Disabled;72:00:00;Scheduling data is not available in this format.;Weekly;0:30:00;22.3.2010;N/A;MON, TUE, WED, THU, FRI;Every 1 week(s);Disabled;Disabled;Disabled;Disabled
63;fcap09.falcon.local;\follow_up_event_NL002;24.7.2014 1:00:00;Ready;Interactive/Background;23.7.2014 1:00:00;0;admin-zj;P:\Ikaros\SQL-Skripte\Tagesaufgaben\AUTOMATIC_SKRIPTS\follow_up_event_NL002.cmd ;P:\Ikaros\SQL-Skripte\Tagesaufgaben\AUTOMATIC_SKRIPTS;N/A;Enabled;Disabled;Stop On Battery Mode, No Start On Batteries;FALCON\admin-zj;Enabled;72:00:00;Scheduling data is not available in this format.;Weekly;1:00:00;20.9.2010;N/A;MON, TUE, WED, THU, FRI;Every 1 week(s);Disabled;Disabled;Disabled;Disabled
64;fcap09.falcon.local;\follow_up_event_NL003;24.7.2014 3:10:00;Ready;Interactive/Background;23.7.2014 3:10:00;0;admin-zj;P:\Ikaros\SQL-Skripte\Tagesaufgaben\AUTOMATIC_SKRIPTS\follow_up_event_NL003.cmd ;P:\Ikaros\SQL-Skripte\Tagesaufgaben\AUTOMATIC_SKRIPTS;N/A;Enabled;Disabled;Stop On Battery Mode, No Start On Batteries;FALCON\admin-zj06;Enabled;72:00:00;Scheduling data is not available in this format.;Weekly;3:10:00;15.10.2010;N/A;MON, TUE, WED, THU, FRI;Every 1 week(s);Disabled;Disabled;Disabled;Disabled
65;fcap09.falcon.local;\IKA_TRAINNING_stop_start;Disabled;Unknown;Interactive/Background;12.8.2013 8:20:05;0;admin-zj;F:\Data\IKA-TRAINING-ASA12\Skript\IKA_TRAINNING_stop_start.cmd ;F:\Data\IKA-TRAINING-ASA12\Skript;N/A;Disabled;Disabled;Stop On Battery Mode, No Start On Batteries;FALCON\admin-zj;Disabled;72:00:00;Scheduling data is not available in this format.;Weekly;12:00:00;17.3.2013;N/A;SUN;Every 1 week(s);Disabled;Disabled;Disabled;Disabled
